Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994
Houdini,Houdini,Eminem,2024-05-31,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,0,0
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,0,29584940,534915313
Gata Only,Gata Only,FloyyMenor,2024-02-02,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,9,355.7,1653018119,1,15,63.50158061116965,0,0,0,0,0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,11,322.1,250080413,16219,168766158,91.0,32229063,550191,0,184500,2100000
The Door,The Door,Teddy Swims,2024-06-14,12,320.2,111155129,2,263767,63.50158061116965,0,0,0,0,0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000
Like That,WE DON'T TRUST YOU,Future,2024-03-22,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,0,0,0
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,15,301.6,297185,277,24445,12.0,6736502312,16785489,3,1088,22234
LALA,LALA - Single,Myke Towers,2023-03-22,16,299.9,925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,7499234052
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,17,297.6,395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000
greedy,greedy,Tate McRae,2023-09-14,18,293.7,1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,5456156211
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,19,292.6,91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800
As It Was,As It Was,Harry Styles,2022-03-31,20,292.0,3301814535,407119,169783402,87.0,800899315,9101589,2755903,1633970617,15405881843
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,21,290.5,1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,7095564106
Espresso,Espresso,Sabrina Carpenter,2024-04-12,22,281.5,547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,23,279.0,1655575417,10,655,63.50158061116965,0,0,0,0,0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,24,278.9,426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,6518604175
Future,Future,official sound studio,2024-01-10,25,277.5,0,1,2,63.50158061116965,0,0,9453333,273236305,4306269694
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,26,268.1,7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,22918660728
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,27,266.3,3107100349,451732,134793519,78.0,1256973582,14661425,7485966,2246991336,23712377029
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,28,265.7,720822868,60945,7530769,71.0,16322756555,48757673,7743800,281762094,6577639193
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,29,262.8,591068364,26203,197494995,87.0,156882014,3080503,0,0,0
Numb / Encore,Papercuts,JAY-Z,2024-04-12,30,256.0,1003215671,128,485454,63.50158061116965,0,0,0,0,0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,31,249.8,1645079292,0,0,63.50158061116965,0,0,0,0,0
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,32,237.5,124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328
